Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S006522    ,Sants-Montjuïc,la Marina del Prat Vermell,Número 5 Zona Franca,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,26,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,427046.0,4575468.09,2.127124275,41.325541793,2023-11-03 19:00:00
2023S006523    ,Eixample,la Dreta de l'Eixample,Diagonal,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,27,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429996.53,4583374.37,2.161464532,41.397013209,2023-11-03 19:00:00
2023S006524    ,Horta-Guinardó,Horta,Dalt (Llobregat),Friday,2023,11,November,3,Night,,Not caused by the pedestrian,Motorcycle,Man,45,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Medical assistance at accident site,429782.41,4588099.56,2.158354551,41.43955254,2023-11-03 23:00:00
2023S006525    ,Sant Andreu,la Sagrera,Berenguer de Palou,Saturday,2023,11,November,4,Night,,Not caused by the pedestrian,Car,Man,28,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432554.05,4586337.91,2.191725172,41.423923661,2023-11-04 02:00:00
2023S006526    ,Sants-Montjuïc,la Bordeta,Constitució,Saturday,2023,11,November,4,Night,,Not caused by the pedestrian,Motorcycle,Man,41,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,427949.35,4580391.97,2.13733276,41.36997092,2023-11-04 02:00:00
2023S006527    ,Les Corts,les Corts,Reina Maria Cristina,Saturday,2023,11,November,4,Night,,Not caused by the pedestrian,Taxi,Woman,39,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,427207.0,4582445.17,2.128210374,41.38839647,2023-11-04 05:00:00
2023S006528    ,Les Corts,les Corts,Corts,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,37,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,427274.86,4581827.27,2.129096158,41.38283743,2023-11-03 14:00:00
2023S006529    ,Nou Barris,la Trinitat Nova,Dalt (Besòs),Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Car,Woman,52,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,432217.32,4588883.98,2.187410054,41.4468269,2023-11-03 19:00:00
2023S006530    ,Eixample,la Nova Esquerra de l'Eixample,Josep Tarradellas,Friday,2023,11,November,3,Afternoon,,Not caused by the pedestrian,Ciclomotor,Man,53,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428409.41,4582129.0,2.142628031,41.385656815,2023-11-03 19:00:00
2023S006531    ,Sants-Montjuïc,Sants,Numància,Tuesday,2023,10,October,31,Morning,,Not caused by the pedestrian,Car,Woman,41,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,428138.43,4581805.31,2.13942578,41.382717284,2023-10-31 09:00:00
